"","PassengerId","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Pred_Survived"
"117",1008,3,"male",24,0,0,6.4375,"C",0
"118",1009,3,"female",1,1,1,16.7,"S",1
"119",1010,1,"male",36,0,0,75.2417,"C",0
"120",1011,2,"female",29,1,0,26,"S",1
"121",1012,2,"female",12,0,0,15.75,"S",1
"122",1013,3,"male",22.5,1,0,7.75,"Q",0
"123",1014,1,"female",35,1,0,57.75,"C",1
"124",1015,3,"male",28,0,0,7.25,"S",0
"125",1016,3,"male",24.5,0,0,7.75,"Q",0
"126",1017,3,"female",17,0,1,16.1,"S",1
"127",1018,3,"male",22,0,0,7.7958,"S",0
"128",1019,3,"female",21.5,2,0,23.25,"Q",0
"129",1020,2,"male",42,0,0,13,"S",0
"130",1021,3,"male",24,0,0,8.05,"S",0
"131",1022,3,"male",32,0,0,8.05,"S",0
"132",1023,1,"male",53,0,0,28.5,"C",0
"133",1024,3,"female",18.5,0,4,25.4667,"S",1
"134",1025,3,"male",22.5,1,0,6.4375,"C",0
"135",1026,3,"male",43,0,0,7.8958,"S",0
"136",1027,3,"male",24,0,0,7.8542,"S",0
"137",1028,3,"male",26.5,0,0,7.225,"C",0
"138",1029,2,"male",26,0,0,13,"S",0
"139",1030,3,"female",23,0,0,8.05,"S",1
"140",1031,3,"male",40,1,6,46.9,"S",0
"141",1032,3,"female",10,5,2,46.9,"S",0
"142",1033,1,"female",33,0,0,151.55,"S",1
"143",1034,1,"male",61,1,3,262.375,"C",0
"144",1035,2,"male",28,0,0,26,"S",0
"145",1036,1,"male",42,0,0,26.55,"S",0
"146",1037,3,"male",31,3,0,18,"S",0
"147",1038,1,"male",39.5,0,0,51.8625,"S",0
"148",1039,3,"male",22,0,0,8.05,"S",0
"149",1040,1,"male",38.5,0,0,26.55,"S",0
"150",1041,2,"male",30,1,1,26,"S",0
"151",1042,1,"female",23,0,1,83.1583,"C",1
"152",1043,3,"male",24.5,0,0,7.8958,"C",0
"153",1044,3,"male",60.5,0,0,6.20487441469534,"S",0
"154",1045,3,"female",36,0,2,12.1833,"S",0
"155",1046,3,"male",13,4,2,31.3875,"S",0
"156",1047,3,"male",24,0,0,7.55,"S",0
"157",1048,1,"female",29,0,0,221.7792,"S",1
"158",1049,3,"female",23,0,0,7.8542,"S",1
"159",1050,1,"male",42,0,0,26.55,"S",0
"160",1051,3,"female",26,0,2,13.775,"S",1
"161",1052,3,"female",24.5,0,0,7.7333,"Q",1
"162",1053,3,"male",7,1,1,15.2458,"C",0
"163",1054,2,"female",26,0,0,13.5,"S",1
"164",1055,3,"male",24.5,0,0,7,"S",0
"165",1056,2,"male",41,0,0,13,"S",0
"166",1057,3,"female",26,1,1,22.025,"S",0
"167",1058,1,"male",48,0,0,50.4958,"C",0
"168",1059,3,"male",18,2,2,34.375,"S",0
"169",1060,1,"female",38.5,0,0,27.7208,"C",1
"170",1061,3,"female",22,0,0,8.9625,"S",1
"171",1062,3,"male",24.5,0,0,7.55,"S",0
"172",1063,3,"male",27,0,0,7.225,"C",0
"173",1064,3,"male",23,1,0,13.9,"S",0
"174",1065,3,"male",24.5,0,0,7.2292,"C",0
"175",1066,3,"male",40,1,5,31.3875,"S",0
"176",1067,2,"female",15,0,2,39,"S",1
"177",1068,2,"female",20,0,0,36.75,"S",1
"178",1069,1,"male",54,1,0,55.4417,"C",0
"179",1070,2,"female",36,0,3,39,"S",1
"180",1071,1,"female",64,0,2,83.1583,"C",1
"181",1072,2,"male",30,0,0,13,"S",0
"182",1073,1,"male",37,1,1,83.1583,"C",0
"183",1074,1,"female",18,1,0,53.1,"S",1
"184",1075,3,"male",24.5,0,0,7.75,"Q",0
"185",1076,1,"female",27,1,1,247.5208,"C",1
"186",1077,2,"male",40,0,0,16,"S",0
"187",1078,2,"female",21,0,1,21,"S",1
"188",1079,3,"male",17,2,0,8.05,"S",0
"189",1080,3,"female",10.5,8,2,69.55,"S",0
"190",1081,2,"male",40,0,0,13,"S",0
"191",1082,2,"male",34,1,0,26,"S",0
"192",1083,1,"male",38.5,0,0,26,"S",0
"193",1084,3,"male",11.5,1,1,14.5,"S",0
"194",1085,2,"male",61,0,0,12.35,"Q",0
"195",1086,2,"male",8,0,2,32.5,"S",0
"196",1087,3,"male",33,0,0,7.8542,"S",0
"197",1088,1,"male",6,0,2,134.5,"C",1
"198",1089,3,"female",18,0,0,7.775,"S",1
"199",1090,2,"male",23,0,0,10.5,"S",0
"200",1091,3,"female",24.5,0,0,8.1125,"S",1
"201",1092,3,"female",24.5,0,0,15.5,"Q",1
"202",1093,3,"male",0.33,0,2,14.4,"S",0
"203",1094,1,"male",47,1,0,227.525,"C",0
"204",1095,2,"female",8,1,1,26,"S",1
"205",1096,2,"male",25,0,0,10.5,"S",0
"206",1097,1,"male",38.5,0,0,25.7417,"C",0
"207",1098,3,"female",35,0,0,7.75,"Q",0
"208",1099,2,"male",24,0,0,10.5,"S",0
"209",1100,1,"female",33,0,0,27.7208,"C",1
"210",1101,3,"male",25,0,0,7.8958,"S",0
"211",1102,3,"male",32,0,0,22.525,"S",0
"212",1103,3,"male",24.5,0,0,7.05,"S",0
"213",1104,2,"male",17,0,0,73.5,"S",0
"214",1105,2,"female",60,1,0,26,"S",0
"215",1106,3,"female",38,4,2,7.775,"S",0
"216",1107,1,"male",42,0,0,42.5,"S",0
"217",1108,3,"female",24.5,0,0,7.8792,"Q",1
"218",1109,1,"male",57,1,1,164.8667,"S",0
"219",1110,1,"female",50,1,1,211.5,"C",1
"220",1111,3,"male",24.5,0,0,8.05,"S",0
"221",1112,2,"female",30,1,0,13.8583,"C",1
"222",1113,3,"male",21,0,0,8.05,"S",0
"223",1114,2,"female",22,0,0,10.5,"S",1
"224",1115,3,"male",21,0,0,7.7958,"S",0
"225",1116,1,"female",53,0,0,27.4458,"C",1
"226",1117,3,"female",21.5,0,2,15.2458,"C",1
"227",1118,3,"male",23,0,0,7.7958,"S",0
"228",1119,3,"female",24.5,0,0,7.75,"Q",1
"229",1120,3,"male",40.5,0,0,15.1,"S",0
"230",1121,2,"male",36,0,0,13,"S",0
"231",1122,2,"male",14,0,0,65,"S",0
"232",1123,1,"female",21,0,0,26.55,"S",1
"233",1124,3,"male",21,1,0,6.4958,"S",0
"234",1125,3,"male",24.5,0,0,7.8792,"Q",0
"235",1126,1,"male",39,1,0,71.2833,"C",0
"236",1127,3,"male",20,0,0,7.8542,"S",0
"237",1128,1,"male",64,1,0,75.25,"C",0
"238",1129,3,"male",20,0,0,7.225,"C",0
"239",1130,2,"female",18,1,1,13,"S",1
"240",1131,1,"female",48,1,0,106.425,"C",1
"241",1132,1,"female",55,0,0,27.7208,"C",1
"242",1133,2,"female",45,0,2,30,"S",1
"243",1134,1,"male",45,1,1,134.5,"C",0
"244",1135,3,"male",24.5,0,0,7.8875,"S",0
"245",1136,3,"male",20,1,2,23.45,"S",0
"246",1137,1,"male",41,1,0,51.8625,"S",0
"247",1138,2,"female",22,0,0,21,"S",1
"248",1139,2,"male",42,1,1,32.5,"S",0
"249",1140,2,"female",29,1,0,26,"S",1
"250",1141,3,"female",23,1,0,14.4542,"C",1
"251",1142,2,"female",0.92,1,2,27.75,"S",1
"252",1143,3,"male",20,0,0,7.925,"S",0
"253",1144,1,"male",27,1,0,136.7792,"C",0
"254",1145,3,"male",24,0,0,9.325,"S",0
"255",1146,3,"male",32.5,0,0,9.5,"S",0
"256",1147,3,"male",24.5,0,0,7.55,"S",0
"257",1148,3,"male",24.5,0,0,7.75,"Q",0
"258",1149,3,"male",28,0,0,8.05,"S",0
"259",1150,2,"female",19,0,0,13,"S",1
"260",1151,3,"male",21,0,0,7.775,"S",0
"261",1152,3,"male",36.5,1,0,17.4,"S",0
"262",1153,3,"male",21,0,0,7.8542,"S",0
"263",1154,2,"female",29,0,2,23,"S",1
"264",1155,3,"female",1,1,1,12.1833,"S",1
"265",1156,2,"male",30,0,0,12.7375,"C",0
"266",1157,3,"male",24.5,0,0,7.8958,"S",0
"267",1158,1,"male",38,0,0,0,"S",0
"268",1159,3,"male",24.5,0,0,7.55,"S",0
"269",1160,3,"female",24.5,0,0,8.05,"S",1
"270",1161,3,"male",17,0,0,8.6625,"S",0
"271",1162,1,"male",46,0,0,75.2417,"C",0
"272",1163,3,"male",24.5,0,0,7.75,"Q",0
"273",1164,1,"female",26,1,0,136.7792,"C",1
"274",1165,3,"female",23,1,0,15.5,"Q",1
"275",1166,3,"male",24.5,0,0,7.225,"C",0
"276",1167,2,"female",20,1,0,26,"S",1
"277",1168,2,"male",28,0,0,10.5,"S",0
"278",1169,2,"male",40,1,0,26,"S",0
"279",1170,2,"male",30,1,0,21,"S",0
"280",1171,2,"male",22,0,0,10.5,"S",0
"281",1172,3,"female",23,0,0,8.6625,"S",1
"282",1173,3,"male",0.75,1,1,13.775,"S",0
"283",1174,3,"female",24.5,0,0,7.75,"Q",1
"284",1175,3,"female",9,1,1,15.2458,"C",1
"285",1176,3,"female",2,1,1,20.2125,"S",1
"286",1177,3,"male",36,0,0,7.25,"S",0
"287",1178,3,"male",24.5,0,0,7.25,"S",0
"288",1179,1,"male",24,1,0,82.2667,"S",0
"289",1180,3,"male",24.5,0,0,7.2292,"C",0
"290",1181,3,"male",24.5,0,0,8.05,"S",0
"291",1182,1,"male",39,0,0,39.6,"S",0
"292",1183,3,"female",30,0,0,6.95,"Q",1
"293",1184,3,"male",24.5,0,0,7.2292,"C",0
"294",1185,1,"male",53,1,1,81.8583,"S",0
"295",1186,3,"male",36,0,0,9.5,"S",0
"296",1187,3,"male",26,0,0,7.8958,"S",0
"297",1188,2,"female",1,1,2,41.5792,"C",1
"298",1189,3,"male",21.5,2,0,21.6792,"C",0
"299",1190,1,"male",30,0,0,45.5,"S",1
"300",1191,3,"male",29,0,0,7.8542,"S",0
"301",1192,3,"male",32,0,0,7.775,"S",0
"302",1193,2,"male",31.5,0,0,15.0458,"C",0
"303",1194,2,"male",43,0,1,21,"S",0
"304",1195,3,"male",24,0,0,8.6625,"S",0
"305",1196,3,"female",24.5,0,0,7.75,"Q",1
"306",1197,1,"female",64,1,1,26.55,"S",1
"307",1198,1,"male",30,1,2,151.55,"S",0
"308",1199,3,"male",0.83,0,1,9.35,"S",0
"309",1200,1,"male",55,1,1,93.5,"S",0
"310",1201,3,"female",45,1,0,14.1083,"S",0
"311",1202,3,"male",18,0,0,8.6625,"S",0
"312",1203,3,"male",22,0,0,7.225,"C",0
"313",1204,3,"male",24.5,0,0,7.575,"S",0
"314",1205,3,"female",37,0,0,7.75,"Q",0
"315",1206,1,"female",55,0,0,135.6333,"C",1
"316",1207,3,"female",17,0,0,7.7333,"Q",1
"317",1208,1,"male",57,1,0,146.5208,"C",0
"318",1209,2,"male",19,0,0,10.5,"S",0
"319",1210,3,"male",27,0,0,7.8542,"S",0
"320",1211,2,"male",22,2,0,31.5,"S",0
"321",1212,3,"male",26,0,0,7.775,"S",0
"322",1213,3,"male",25,0,0,7.2292,"C",0
"323",1214,2,"male",26,0,0,13,"S",0
"324",1215,1,"male",33,0,0,26.55,"S",0
"325",1216,1,"female",39,0,0,211.3375,"S",1
"326",1217,3,"male",23,0,0,7.05,"S",0
"327",1218,2,"female",12,2,1,39,"S",1
"328",1219,1,"male",46,0,0,79.2,"C",0
"329",1220,2,"male",29,1,0,26,"S",0
"330",1221,2,"male",21,0,0,13,"S",0
"331",1222,2,"female",48,0,2,36.75,"S",1
"332",1223,1,"male",39,0,0,29.7,"C",0
"333",1224,3,"male",24.5,0,0,7.225,"C",0
"334",1225,3,"female",19,1,1,15.7417,"C",1
"335",1226,3,"male",27,0,0,7.8958,"S",0
"336",1227,1,"male",30,0,0,26,"S",1
"337",1228,2,"male",32,0,0,13,"S",0
"338",1229,3,"male",39,0,2,7.2292,"C",0
"339",1230,2,"male",25,0,0,31.5,"S",0
"340",1231,3,"male",24.5,0,0,7.2292,"C",0
"341",1232,2,"male",18,0,0,10.5,"S",0
"342",1233,3,"male",32,0,0,7.5792,"S",0
"343",1234,3,"male",10.5,1,9,69.55,"S",0
"344",1235,1,"female",58,0,1,512.3292,"C",1
"345",1236,3,"male",21.5,1,1,14.5,"S",0
"346",1237,3,"female",16,0,0,7.65,"S",1
"347",1238,2,"male",26,0,0,13,"S",0
"348",1239,3,"female",38,0,0,7.2292,"C",0
"349",1240,2,"male",24,0,0,13.5,"S",0
"350",1241,2,"female",31,0,0,21,"S",1
"351",1242,1,"female",45,0,1,63.3583,"C",1
"352",1243,2,"male",25,0,0,10.5,"S",0
"353",1244,2,"male",18,0,0,73.5,"S",0
"354",1245,2,"male",49,1,2,65,"S",0
"355",1246,3,"female",0.17,1,2,20.575,"S",1
"356",1247,1,"male",50,0,0,26,"S",0
"357",1248,1,"female",59,2,0,51.4792,"S",1
"358",1249,3,"male",24.5,0,0,7.8792,"S",0
"359",1250,3,"male",24.5,0,0,7.75,"Q",0
"360",1251,3,"female",30,1,0,15.55,"S",0
"361",1252,3,"male",14.5,8,2,69.55,"S",0
"362",1253,2,"female",24,1,1,37.0042,"C",1
"363",1254,2,"female",31,0,0,21,"S",1
"364",1255,3,"male",27,0,0,8.6625,"S",0
"365",1256,1,"female",25,1,0,55.4417,"C",1
"366",1257,3,"female",10.5,1,9,69.55,"S",1
"367",1258,3,"male",23,1,0,14.4583,"C",0
"368",1259,3,"female",22,0,0,39.6875,"S",1
"369",1260,1,"female",45,0,1,59.4,"C",1
"370",1261,2,"male",29,0,0,13.8583,"C",0
"371",1262,2,"male",21,1,0,11.5,"S",0
"372",1263,1,"female",31,0,0,134.5,"C",1
"373",1264,1,"male",49,0,0,0,"S",0
"374",1265,2,"male",44,0,0,13,"S",0
"375",1266,1,"female",54,1,1,81.8583,"S",1
"376",1267,1,"female",45,0,0,262.375,"C",1
"377",1268,3,"female",22,2,0,8.6625,"S",0
"378",1269,2,"male",21,0,0,11.5,"S",0
"379",1270,1,"male",55,0,0,50,"S",0
"380",1271,3,"male",5,4,2,31.3875,"S",0
"381",1272,3,"male",24.5,0,0,7.75,"Q",0
"382",1273,3,"male",26,0,0,7.8792,"Q",0
"383",1274,3,"female",24.5,0,0,14.5,"S",1
"384",1275,3,"female",19,1,0,16.1,"S",1
"385",1276,2,"male",31.5,0,0,12.875,"S",0
"386",1277,2,"female",24,1,2,65,"S",1
"387",1278,3,"male",24,0,0,7.775,"S",0
"388",1279,2,"male",57,0,0,13,"S",0
"389",1280,3,"male",21,0,0,7.75,"Q",0
"390",1281,3,"male",6,3,1,21.075,"S",0
"391",1282,1,"male",23,0,0,93.5,"S",1
"392",1283,1,"female",51,0,1,39.4,"S",1
"393",1284,3,"male",13,0,2,20.25,"S",0
"394",1285,2,"male",47,0,0,10.5,"S",0
"395",1286,3,"male",29,3,1,22.025,"S",0
"396",1287,1,"female",18,1,0,60,"S",1
"397",1288,3,"male",24,0,0,7.25,"Q",0
"398",1289,1,"female",48,1,1,79.2,"C",1
"399",1290,3,"male",22,0,0,7.775,"S",0
"400",1291,3,"male",31,0,0,7.7333,"Q",0
"401",1292,1,"female",30,0,0,164.8667,"S",1
"402",1293,2,"male",38,1,0,21,"S",0
"403",1294,1,"female",22,0,1,59.4,"C",1
"404",1295,1,"male",17,0,0,47.1,"S",1
"405",1296,1,"male",43,1,0,27.7208,"C",0
"406",1297,2,"male",20,0,0,13.8625,"C",0
"407",1298,2,"male",23,1,0,10.5,"S",0
"408",1299,1,"male",50,1,1,211.5,"C",0
"409",1300,3,"female",24.5,0,0,7.7208,"Q",1
"410",1301,3,"female",3,1,1,13.775,"S",1
"411",1302,3,"female",24.5,0,0,7.75,"Q",1
"412",1303,1,"female",37,1,0,90,"Q",1
"413",1304,3,"female",28,0,0,7.775,"S",1
"414",1305,3,"male",24.5,0,0,8.05,"S",0
"415",1306,1,"female",39,0,0,108.9,"C",1
"416",1307,3,"male",38.5,0,0,7.25,"S",0
"417",1308,3,"male",24.5,0,0,8.05,"S",0
"418",1309,3,"male",21.5,1,1,22.3583,"C",0
